Address:,USB0::0x0957::0x179B::MY58106376::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY58106376,,-0.0017388125,4.63404558971524,0.00229899119585752,
Firmware Version:,02.65.2021030741,,-0.0017384485,4.63404558971524,0.00631909212097526,
Start Time:,2024-03-03 12:27:48.926,,-0.0017380845,4.63404558971524,-0.00172110972926021,
,,,-0.0017377205,4.5938445776701,-0.00574121065437794,
Analog Sample Count:,4725,,-0.0017373565,4.63404558971524,0.00229899119585752,
Function Sample Count:,0,,-0.0017369925,4.63404558971524,0.00229899119585752,
Waveform Memory Sample Count:,0,,-0.0017366285,4.5938445776701,0.00631909212097526,
Digital Sample Count:,0,,-0.0017362645,4.63404558971524,-0.00172110972926021,
,,,-0.0017359005,4.63404558971524,-0.00172110972926021,
Setup Text Information:,,,-0.0017355365,4.63404558971524,0.00631909212097526,
ANALOG,,,-0.0017351725,4.63404558971524,0.00229899119585752,
Channel 1,,,-0.0017348085,4.5938445776701,-0.00574121065437794,
Scale,1 V/,,-0.0017344445,4.5938445776701,-0.00172110972926021,
Pos,2.825 V,,-0.0017340805,4.63404558971524,0.00631909212097526,
Coup,,,-0.0017337165,4.5938445776701,0.00229899119585752,
BW,Off,,-0.0017333525,4.5938445776701,-0.00574121065437794,
Inv,Off,,-0.0017329885,4.63404558971524,0.00229899119585752,
Imp,1M Ohm,,-0.0017326245,4.63404558971524,0.00631909212097526,
Trace Label,1,,-0.0017322605,4.63404558971524,-0.00172110972926021,
Probe,1,,-0.0017318965,4.63404558971524,-0.00172110972926021,
Skew,0 s,,-0.0017315325,4.5938445776701,-0.00574121065437794,
,,,-0.0017311685,4.63404558971524,-0.00172110972926021,
Channel 2,,,-0.0017308045,4.63404558971524,0.00631909212097526,
Scale,100 mV/,,-0.0017304405,4.63404558971524,0.00229899119585752,
Pos,42.5 mV,,-0.0017300765,4.63404558971524,-0.00574121065437794,
Coup,,,-0.0017297125,4.63404558971524,-0.00172110972926021,
BW,Off,,-0.0017293485,4.63404558971524,0.010339193046093,
Inv,Off,,-0.0017289845,4.5938445776701,-0.00574121065437794,
Imp,1M Ohm,,-0.0017286205,4.5938445776701,-0.00574121065437794,
Trace Label,2,,-0.0017282565,4.63404558971524,0.00229899119585752,
Probe,1,,-0.0017278925,4.63404558971524,0.00631909212097526,
Skew,0 s,,-0.0017275285,4.5938445776701,-0.00574121065437794,
,,,-0.0017271645,4.5938445776701,-0.00574121065437794,
MATH,,,-0.0017268005,4.63404558971524,0.00229899119585752,
REFERENCE WAVEFORM,,,-0.0017264365,4.63404558971524,0.00631909212097526,
TRIGGER,,,-0.0017260725,4.63404558971524,-0.00574121065437794,
Sweep Mode,AUTO,,-0.0017257085,4.63404558971524,-0.00574121065437794,
Coup,DC,,-0.0017253445,4.63404558971524,0.00631909212097526,
Noise Rej,Off,,-0.0017249805,4.63404558971524,0.00229899119585752,
HF Rej,Off,,-0.0017246165,4.5938445776701,-0.00574121065437794,
Holdoff,40.0 ns,,-0.0017242525,4.5938445776701,-0.00172110972926021,
Mode,EDGE,,-0.0017238885,4.63404558971524,0.00229899119585752,
Source,CHAN1,,-0.0017235245,4.63404558971524,0.00229899119585752,
Slope,POS,,-0.0017231605,4.5938445776701,-0.00172110972926021,
Level,2.32 V V,,-0.0017227965,4.63404558971524,-0.00172110972926021,
,,,-0.0017224325,4.63404558971524,-0.00574121065437794,
HORIZONTAL,,,-0.0017220685,4.63404558971524,-0.00172110972926021,
Mode,MAIN,,-0.0017217045,4.63404558971524,0.00631909212097526,
Ref,CENT,,-0.0017213405,4.63404558971524,0.00229899119585752,
Main Scale,172 µs/,,-0.0017209765,4.63404558971524,0.00229899119585752,
Main Delay,-878 µs,,-0.0017206125,4.5938445776701,0.00229899119585752,
,,,-0.0017202485,4.63404558971524,0.00229899119585752,
ACQUISITION,,,-0.0017198845,4.63404558971524,0.00229899119585752,
Mode,NORM,,-0.0017195205,4.63404558971524,-0.00574121065437794,
RealTime,On,,-0.0017191565,4.63404558971524,0.00229899119585752,
Vectors,On,,-0.0017187925,4.67424660176039,0.0183793948963284,
Persistence,Off,,-0.0017184285,4.5938445776701,-0.00574121065437794,
,,,-0.0017180645,4.5938445776701,-0.0137814125046134,
,,,-0.0017177005,4.63404558971524,0.010339193046093,
,,,-0.0017173365,4.63404558971524,0.010339193046093,
,,,-0.0017169725,4.63404558971524,-0.00574121065437794,
,,,-0.0017166085,4.5938445776701,-0.00574121065437794,
,,,-0.0017162445,4.63404558971524,0.010339193046093,
,,,-0.0017158805,4.63404558971524,0.00229899119585752,
,,,-0.0017155165,4.5938445776701,-0.0137814125046134,
,,,-0.0017151525,4.5938445776701,-0.00172110972926021,
,,,-0.0017147885,4.63404558971524,0.010339193046093,
,,,-0.0017144245,4.63404558971524,-0.00172110972926021,
,,,-0.0017140605,4.5938445776701,-0.00574121065437794,
,,,-0.0017136965,4.5938445776701,-0.00976131157949567,
,,,-0.0017133325,4.5938445776701,0.00229899119585752,
,,,-0.0017129685,4.63404558971524,0.00631909212097526,
,,,-0.0017126045,4.5938445776701,-0.00574121065437794,
,,,-0.0017122405,4.63404558971524,-0.00172110972926021,
,,,-0.0017118765,4.63404558971524,0.00631909212097526,
,,,-0.0017115125,4.63404558971524,-0.00172110972926021,
,,,-0.0017111485,4.63404558971524,-0.00574121065437794,
